"108732","3","1984","NaN","20","CSLG06","BLACK","","NaN","","MK","10","4144","4157","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1985","NaN","21","CSLG06","BLACK","","NaN","","MK","10","4158","4171","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1986","NaN","22","CSLG06","BLACK","","NaN","","MK","10","4172","4185","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1987","NaN","23","CSLG06","BLACK","","NaN","","MK","10","4186","4199","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1988","NaN","24","CSLG06","BLACK","","NaN","","MK","10","4200","4213","6","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1989","NaN","25","CSLG06","BLACK","","NaN","","ML","11","4214","4227","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1990","NaN","26","CSLG06","BLACK","","NaN","","ML","11","4228","4241","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1991","NaN","27","CSLG06","BLACK","","NaN","","ML","11","4242","4255","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1992","NaN","28","CSLG06","BLACK","","NaN","","ML","11","4256","4269","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1993","NaN","29","CSLG06","BLACK","","NaN","","ML","11","4270","4283","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1994","NaN","30","CSLG06","BLACK","","NaN","","ML","11","4284","4297","6","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1995","NaN","31","CSLG06","BLACK","","NaN","","MM","10","4298","4311","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1996","NaN","32","CSLG06","BLACK","","NaN","","MM","10","4312","4325","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1997","NaN","33","CSLG06","BLACK","","NaN","","MM","10","4326","4339","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1998","NaN","34","CSLG06","BLACK","","NaN","","MM","10","4340","4353","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","1999","NaN","35","CSLG06","BLACK","","NaN","","MM","10","4354","4367","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","2000","NaN","36","CSLG06","BLACK","","NaN","","MM","10","4368","4381","6","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","2001","NaN","37","CSLG06","BLACK","","NaN","","MN","9","4382","4395","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","2002","NaN","38","CSLG06","BLACK","","NaN","","MN","9","4396","4409","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","2003","NaN","39","CSLG06","BLACK","","NaN","","MN","9","4410","4423","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","2004","NaN","40","CSLG06","BLACK","","NaN","","MN","9","4424","4437","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","2005","NaN","41","CSLG06","BLACK","","NaN","","MN","9","4438","4451","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","3","2006","NaN","42","CSLG06","BLACK","","NaN","","MN","9","4452","4465","6","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","4","2007","NaN","1","CSLG06","BLACK","","NaN","","S","85","4466","4479","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","4","2008","NaN","2","CSLG06","BLACK","","NaN","","SA","86","4480","4493","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732A","1","2009","NaN","1","CSLG06","BLACK","","NaN","","S","11","4494","4507","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732A","1","2010","NaN","2","CSLG06","BLACK","","NaN","","S","11","4508","4521","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
